verb,baseline_sentence,distractor_sentence,ungrammatical_sentence,baseline_pron_log_prob,distractor_pron_log_prob,ungrammatical_pron_log_prob,baseline_greater_than_ungrammatical,distractor_greater_than_ungrammatical,correct
promised,The lawyer promised to disguise himself .,The lawyer promised to disguise himself .,The lawyers promised to disguise himself .,-2.2679595947265625,-2.2679595947265625,-6.691925048828125,1,1,1
guaranteed,The lawyer guaranteed to make fun of himself .,The lawyer guaranteed to make fun of himself .,The lawyers guaranteed to make fun of himself .,-5.054779052734375,-5.054779052734375,-7.3940277099609375,1,1,1
guaranteed,The lawyer guaranteed to examine himself .,The lawyer guaranteed to examine himself .,The lawyers guaranteed to examine himself .,-7.199005126953125,-7.199005126953125,-9.017646789550781,1,1,1
guaranteed,The lawyer guaranteed to diagnose himself .,The lawyer guaranteed to diagnose himself .,The lawyers guaranteed to diagnose himself .,-5.742156982421875,-5.742156982421875,-7.716583251953125,1,1,1
guaranteed,The lawyer guaranteed to embarrass himself .,The lawyer guaranteed to embarrass himself .,The lawyers guaranteed to embarrass himself .,-3.4676437377929688,-3.4676437377929688,-6.3470001220703125,1,1,1
guaranteed,The lawyer guaranteed to disguise himself .,The lawyer guaranteed to disguise himself .,The lawyers guaranteed to disguise himself .,-1.4827041625976562,-1.4827041625976562,-5.188011169433594,1,1,1
offered,The lawyer offered to make fun of himself .,The lawyer offered to make fun of himself .,The lawyers offered to make fun of himself .,-5.804450988769531,-5.804450988769531,-7.689186096191406,1,1,1
offered,The lawyer offered to examine himself .,The lawyer offered to examine himself .,The lawyers offered to examine himself .,-7.766288757324219,-7.766288757324219,-9.350570678710938,1,1,1
offered,The lawyer offered to diagnose himself .,The lawyer offered to diagnose himself .,The lawyers offered to diagnose himself .,-6.237159729003906,-6.237159729003906,-8.027618408203125,1,1,1
offered,The lawyer offered to embarrass himself .,The lawyer offered to embarrass himself .,The lawyers offered to embarrass himself .,-4.766075134277344,-4.766075134277344,-6.930473327636719,1,1,1
offered,The lawyer offered to disguise himself .,The lawyer offered to disguise himself .,The lawyers offered to disguise himself .,-1.60223388671875,-1.60223388671875,-5.521949768066406,1,1,1
promised,The artist promised to make fun of himself .,The artist promised to make fun of himself .,The artists promised to make fun of himself .,-4.518104553222656,-4.518104553222656,-6.64599609375,1,1,1
promised,The artist promised to examine himself .,The artist promised to examine himself .,The artists promised to examine himself .,-7.190254211425781,-7.190254211425781,-9.492935180664062,1,1,1
promised,The artist promised to diagnose himself .,The artist promised to diagnose himself .,The artists promised to diagnose himself .,-5.596160888671875,-5.596160888671875,-7.661376953125,1,1,1
promised,The artist promised to embarrass himself .,The artist promised to embarrass himself .,The artists promised to embarrass himself .,-3.111572265625,-3.111572265625,-5.989471435546875,1,1,1
promised,The artist promised to disguise himself .,The artist promised to disguise himself .,The artists promised to disguise himself .,-2.03973388671875,-2.03973388671875,-5.9946746826171875,1,1,1
guaranteed,The artist guaranteed to make fun of himself .,The artist guaranteed to make fun of himself .,The artists guaranteed to make fun of himself .,-3.796844482421875,-3.796844482421875,-6.8461151123046875,1,1,1
guaranteed,The artist guaranteed to examine himself .,The artist guaranteed to examine himself .,The artists guaranteed to examine himself .,-6.0782318115234375,-6.0782318115234375,-8.756538391113281,1,1,1
guaranteed,The artist guaranteed to diagnose himself .,The artist guaranteed to diagnose himself .,The artists guaranteed to diagnose himself .,-4.80316162109375,-4.80316162109375,-7.3558197021484375,1,1,1
guaranteed,The artist guaranteed to embarrass himself .,The artist guaranteed to embarrass himself .,The artists guaranteed to embarrass himself .,-2.8952484130859375,-2.8952484130859375,-6.3591766357421875,1,1,1
guaranteed,The artist guaranteed to disguise himself .,The artist guaranteed to disguise himself .,The artists guaranteed to disguise himself .,-1.337921142578125,-1.337921142578125,-5.195587158203125,1,1,1
offered,The artist offered to make fun of himself .,The artist offered to make fun of himself .,The artists offered to make fun of himself .,-5.23541259765625,-5.23541259765625,-7.273643493652344,1,1,1
offered,The artist offered to examine himself .,The artist offered to examine himself .,The artists offered to examine himself .,-6.939155578613281,-6.939155578613281,-9.467735290527344,1,1,1
offered,The artist offered to diagnose himself .,The artist offered to diagnose himself .,The artists offered to diagnose himself .,-5.89031982421875,-5.89031982421875,-8.316780090332031,1,1,1
offered,The artist offered to embarrass himself .,The artist offered to embarrass himself .,The artists offered to embarrass himself .,-3.9335174560546875,-3.9335174560546875,-6.731788635253906,1,1,1
offered,The artist offered to disguise himself .,The artist offered to disguise himself .,The artists offered to disguise himself .,-1.590728759765625,-1.590728759765625,-5.774299621582031,1,1,1
promised,The student promised to make fun of himself .,The student promised to make fun of himself .,The students promised to make fun of himself .,-3.6509628295898438,-3.6509628295898438,-6.808692932128906,1,1,1
promised,The student promised to examine himself .,The student promised to examine himself .,The students promised to examine himself .,-5.206275939941406,-5.206275939941406,-8.909225463867188,1,1,1
promised,The student promised to diagnose himself .,The student promised to diagnose himself .,The students promised to diagnose himself .,-4.4880218505859375,-4.4880218505859375,-7.194877624511719,1,1,1
promised,The student promised to embarrass himself .,The student promised to embarrass himself .,The students promised to embarrass himself .,-2.5222015380859375,-2.5222015380859375,-6.4455413818359375,1,1,1
promised,The student promised to disguise himself .,The student promised to disguise himself .,The students promised to disguise himself .,-1.1383743286132812,-1.1383743286132812,-5.716468811035156,1,1,1
guaranteed,The student guaranteed to make fun of himself .,The student guaranteed to make fun of himself .,The students guaranteed to make fun of himself .,-3.55853271484375,-3.55853271484375,-6.936424255371094,1,1,1
guaranteed,The student guaranteed to examine himself .,The student guaranteed to examine himself .,The students guaranteed to examine himself .,-4.949958801269531,-4.949958801269531,-8.537689208984375,1,1,1
guaranteed,The student guaranteed to diagnose himself .,The student guaranteed to diagnose himself .,The students guaranteed to diagnose himself .,-4.6195220947265625,-4.6195220947265625,-7.152854919433594,1,1,1
guaranteed,The student guaranteed to embarrass himself .,The student guaranteed to embarrass himself .,The students guaranteed to embarrass himself .,-2.30059814453125,-2.30059814453125,-6.352081298828125,1,1,1
guaranteed,The student guaranteed to disguise himself .,The student guaranteed to disguise himself .,The students guaranteed to disguise himself .,-0.903350830078125,-0.903350830078125,-5.4678802490234375,1,1,1
offered,The student offered to make fun of himself .,The student offered to make fun of himself .,The students offered to make fun of himself .,-4.6956329345703125,-4.6956329345703125,-7.656486511230469,1,1,1
offered,The student offered to examine himself .,The student offered to examine himself .,The students offered to examine himself .,-5.58648681640625,-5.58648681640625,-9.4669189453125,1,1,1
offered,The student offered to diagnose himself .,The student offered to diagnose himself .,The students offered to diagnose himself .,-5.534507751464844,-5.534507751464844,-8.449142456054688,1,1,1
offered,The student offered to embarrass himself .,The student offered to embarrass himself .,The students offered to embarrass himself .,-3.4526138305664062,-3.4526138305664062,-7.128181457519531,1,1,1
offered,The student offered to disguise himself .,The student offered to disguise himself .,The students offered to disguise himself .,-1.0726699829101562,-1.0726699829101562,-6.1642608642578125,1,1,1
promised,The child promised to make fun of himself .,The child promised to make fun of himself .,The children promised to make fun of himself .,-3.6539077758789062,-3.6539077758789062,-6.818412780761719,1,1,1
promised,The child promised to examine himself .,The child promised to examine himself .,The children promised to examine himself .,-4.5267333984375,-4.5267333984375,-8.048362731933594,1,1,1
promised,The child promised to diagnose himself .,The child promised to diagnose himself .,The children promised to diagnose himself .,-4.006950378417969,-4.006950378417969,-6.866981506347656,1,1,1
promised,The child promised to embarrass himself .,The child promised to embarrass himself .,The children promised to embarrass himself .,-3.0720901489257812,-3.0720901489257812,-6.400230407714844,1,1,1
promised,The child promised to disguise himself .,The child promised to disguise himself .,The children promised to disguise himself .,-1.0618743896484375,-1.0618743896484375,-5.116722106933594,1,1,1
guaranteed,The child guaranteed to make fun of himself .,The child guaranteed to make fun of himself .,The children guaranteed to make fun of himself .,-3.5737152099609375,-3.5737152099609375,-6.925971984863281,1,1,1
guaranteed,The child guaranteed to examine himself .,The child guaranteed to examine himself .,The children guaranteed to examine himself .,-4.9496307373046875,-4.9496307373046875,-8.515037536621094,1,1,1
guaranteed,The child guaranteed to diagnose himself .,The child guaranteed to diagnose himself .,The children guaranteed to diagnose himself .,-4.938941955566406,-4.938941955566406,-7.6979522705078125,1,1,1
guaranteed,The child guaranteed to embarrass himself .,The child guaranteed to embarrass himself .,The children guaranteed to embarrass himself .,-3.131500244140625,-3.131500244140625,-6.351646423339844,1,1,1
guaranteed,The child guaranteed to disguise himself .,The child guaranteed to disguise himself .,The children guaranteed to disguise himself .,-1.0383682250976562,-1.0383682250976562,-5.4595184326171875,1,1,1
offered,The child offered to make fun of himself .,The child offered to make fun of himself .,The children offered to make fun of himself .,-4.725059509277344,-4.725059509277344,-7.677398681640625,1,1,1
offered,The child offered to examine himself .,The child offered to examine himself .,The children offered to examine himself .,-5.507041931152344,-5.507041931152344,-9.381843566894531,1,1,1
offered,The child offered to diagnose himself .,The child offered to diagnose himself .,The children offered to diagnose himself .,-5.047111511230469,-5.047111511230469,-8.391952514648438,1,1,1
offered,The child offered to embarrass himself .,The child offered to embarrass himself .,The children offered to embarrass himself .,-3.8916549682617188,-3.8916549682617188,-7.144134521484375,1,1,1
offered,The child offered to disguise himself .,The child offered to disguise himself .,The children offered to disguise himself .,-1.09405517578125,-1.09405517578125,-5.770713806152344,1,1,1
